start,end,title,url,location,tags,notes,data,lat,lon
2019-09-12,2019-09-15,Festival della Comunicazione,http://www.festivalcomunicazione.it/,Camogli,festival,,,,
,2020-09-27,"TALK, Il Post",https://ilpost.it/talk-2,Faenza,festival,,"<a href=""https://images.tommi.space/index?/category/1-talk_il_post"" target=""_blank"" title=""Immagini da TALK a Faenza"">foto</a>",,
,2013-07-10,Green Day,https://www.festivaldenimes.com/wp-content/uploads/2016/04/fdn2013-698x1024.jpg,Nimes,live music,il mio primo concerto,,,
2021-09-03,2021-09-03,Pubblicazione lista beni confiscati provincia di Imperia,,"SPES, Ventiglia",libera,evento conclusivo del campo E!State Liberi di Scambi Festival,,,
2015-03-09,2015-03-13,Gita a Venezia,https://images.tommi.space/index?/category/gita-a-venezia,Venezia,school,,,,
2016-03-16,2016-03-18,Gita in Toscana,https://images.tommi.space/index?/category/gita-in-toscana,"Siena, Volterra, Larderello",,,,,
2019-04-29,2019-04-30,CERN and Geneva,https://images.tommi.space/index?/category/cern-and-geneva,Geneva,school,,,,
2019-04-08,2019-04-13,Gita a Barcellona,https://images.tommi.space/index?/category/gita-a-barcellona,Barcelona,school,,,,
2018-03-01,2018-03-01,Gita in Germania,,Deutschland,school,"<b class=""missing"">+++</b>",,,
2017-03-12,2017-03-17,Gita in Sicilia,https://images.tommi.space/index?/category/gita-in-sicilia,"Palermo,Agrigento",school,,,,
,2016-06-06,Gita a San Fruttuoso,https://images.tommi.space/index?/category/gita-a-san-fruttuoso,San Fruttuoso,school,,,,
,2015-05-26,Gita a EXPO,https://images.tommi.space/index?/category/gita-a-expo-milano,Milano,school,,,,
2018-06-10,2018-06-30,vacanza studio a Londra,https://images.tommi.space/index?/category/london-2018,London,trip,,,,
2016-02-26,2016-03-01,scambio culturale a Bath,https://images.tommi.space/index?/category/bath,Bath,school,(dal 16 al 23 ottobre i ragazzi di Bath sono venuti a Sanremo),,,
,2021-09-24,VIP: Violation of the Pauli Principle,https://capesaro.visitmuve.it/it/eventi/eventi-in-corso/vip-violation-of-the-pauli-exclusion-principle/2020/11/21305/vip-margherita-morgantin/,Ca’ Pesaro,mostra,"mostra sull’esperimento in ricerca della violazione del principio di Pauli, presso i laboratori del Gran Sasso",,"45,441013","12,331612"
,2021-09-28,Rigoletto,https://www.teatrolafenice.it/event/rigoletto/,Teatro La Fenice,opera,prova generale,,"45,433673","12,333784"
2021-10-12,2021-10-12,Manifestazione in solidarietà a Mimmo Lucano,,Ca’ Foscari,protest,,,,
2021-11-04,2021-11-04,Come distruggere la propria carriera prima che sia iniziata,https://www.unive.it/data/agenda/1/54199,Aula Magna Ca’ Foscari,event conference,,,,
