date,word,lang,note,url
2015,gorgeous,en,,
2019-10-15,yield,en,,
2020-06-06,onanismo,it,,
2020-06-11,bécero,it,,
2020-06-13,perpetrare,it,,
2020-06-13,mero,it,,
2020-08-26,poltrona,it,,
2020-09-10,divagamento,it,,
2020-09-11,confuso,it,,
2020-09-18,esacerbante,it,,https://www.treccani.it/vocabolario/esacerbare
2020-09-24,efficace,it,,
2020-09-24,špicerica,hr,(“portamine” in croato),
2020-10-04,legàmi,it,,https://www.treccani.it/vocabolario/legame
2020-10-16,futuribile,it,,
2020-10-20,whimsical,en,,
2020-10-21,circonferenze,it,,https://www.treccani.it/vocabolario/circonferenza
2020-10-28,laconico,it,,
2020-10-30,weakening,en,,
2020-11-01,bitter,en,,
2020-11-01,debauchery,en,,
2020-11-01,perfectibility,en,,
2020-11-03,namely,en,,
2020-11-18,to entail,en,,
2020-12-01,merletto,it,,
2020-12-02,clumsy,en,,
2020-12-03,dedizione,it,,
2020-12-04,virtually,en,,
2020-12-12,entail,en,,
2020-12-19,stigmatizzante,en,,https://www.treccani.it/vocabolario/stigmatizzare
2021-01-24,oblivious,en,,
2021-01-27,esperimento,it,,
2021-02-03,tuttavia,it,,
2021-01-24,placeholder,en,,
2020-12-03,segnaposto,it,,
2021-02-15,bizzarro,it,,
2021-02-25,melomane,it,,
2021-03-10,foster,en,,
2021-03-10,pluralism,en,,
2021-03-11,grim,en,,
2021-05-15,Drunch,en,,https://tommi.space/drunch
2021-06-12,obsolete,en,,
2021-06-21T17:36:47.066979+02:00,hollow,en,,
2021-07-03T10:44:51.521958+02:00,drivel,en,,
2021-07-19T10:40:06.665389+02:00,fantasmagorico,it,,
2021-07-18,heuristics,en,,
