date,amount,what,tags,lat,lon
2021-04-08T12:44:52+02:00,"15,3",pigna doccia + tubo,casa,,
2021-04-08T12:18:00+02:00,"30,46",spesa,spesa,,
2021-04-10T13:50:00+02:00,"3,5",biscotti per lupetti,scout,,
2021-04-10T20:15:00+02:00,"14,13",spesa,spesa,,
2021-04-12T14:02:14+02:00,20,spesa,spesa,,
2021-04-19T13:15:25+02:00,"22,7",spesa,spesa,,
2021-04-23T09:20:47+02:00,"10,2",disinfettante e cerotti,health,,
2021-04-26T14:05:26+02:00,6,pizza,good lunch,,
2021-04-30T13:00:09+02:00,35,lunch,lunch food offer,,
2021-05-06T12:28:39+02:00,"4,1",verdure in campo,food,,
2021-05-07T15:18:11+02:00,"17,2",Pranzo Sushi All You Can Eat,food lunch sushi,,
2021-05-18T17:20:03+02:00,"2,8",gelato a Zattere,gelato snack,,

2021-05-18T13:19:00+02:00,"5","lunch at Orient Experience Ii","lunch food"
2021-05-20T18:30:00+02:00,"8,5","sud 1401 succo e spremuta offerta ad Alice Bleasdale","ape"
2021-05-19T15:44:00+02:00,"5","Spritz al Noir offerto ad Alice Bleasdale","ape"
2021-05-20T17:14:00+02:00,"3,5","Spremuta a Mestre","ape"
2021-05-20T14:55:00+02:00,"50","Multa AVM biglietto non convalidato","multa"
2021-05-20T22:03:00+02:00,"3","Ombra offerta a Terry","ape"
2021-05-21T18:12:33+02:00,"5,2","mentine","mentine",45.43478415351867,12.32230735012546
2021-05-22T09:19:55+02:00,"2,4","brioche per Terri al Tonolo","gift",45.43606323194265,12.3250753060098
