start,end,title,url,location,tags,notes,data,id,lat,lon
,2019-07-09,Il mio CUBO suona il Rock,https://www.facebook.com/events/318752479011472,Il Cubo,live,,"<a href=""https://images.tommi.space/index?/category/91-il_mio_cubo_suona_il_rock"" target=""_blank"" title=""“Il mio Cubo suona il rock” – Vision"">foto</a>, <a href=""https://www.facebook.com/QuelDuoLi/videos/2333791650275489/"" target=""_blank"" title=""Video teaser su Facebook"">",cuborock2019,,
2019-07-28,2019-08-03,Route in Val Codera,https://images.tommi.space/index?/category/route-2019-val-codera,Val Codera,scout,"in cui divenni <a href=""https://tommi.space/stambecco-cinetico""  title=""Stambecco Cinetico""><em>Stambecco Cinetico</em></a>",,codera2019,,
2014-02-21,2014-02-24,Festival di Sanremo,https://tommi.space/rimm-db#festival-di-sanremo-2014,Sanremo,radioimmaginaria,"il mio primo evento con <a href=""https://radioimmaginaria.it"" target=""_blank"" title=""Radioimmaginaria"">Radioimmaginaria</a>",,sanremo2014,,
2014-08-25,2014-08-31,RadioCampo,https://tommi.space/rimm-db#radiocampo-2014,Riccione,radioimmaginaria,"in cui conobbi Edipo, i Soundsick ed i Riciclato Circo Musicale",,,,
2015-02-12,2015-02-15,Festival di Sanremo,https://tommi.space/rimm-db#festival-di-sanremo-2015,Sanremo,radioimmaginaria,,"<a href=""https://flic.kr/s/aHskvtuM9o"" target=""_blank"" title=""Sanremo 2015"">foto di Radioimmaginaria</a>",sanremo2015,,
,2015-08-05,Ultra BEACH PARTY immaginario,https://www.facebook.com/events/917289898363949/,Riva Ligure,radioimmaginaria,il primo evento in assoluto che io abbia mai organizzato,,,,
2015-08-23,2015-08-31,EXPO Milano 2015,https://tommi.space/rimm-db#expo-milano-2015,Milano,radioimmaginaria,,"<a href=""https://flic.kr/s/aHskmDM2RX"" target=""_blank"" title=""EXPO Milano 2015 – Flickr"">foto di Radioimmaginaria</a>",expo2015,,
2015-09-18,2015-09-19,Teen Parade,https://vimeo.com/radioimmaginaria/tparade2015,Castelguelfo di Bologna,radioimmaginaria,,"<a href=""https://flic.kr/s/aHskAsvk5s"" target=""_blank"" title=""Teen Parade 2015 – Flickr"">foto di Radioimmaginaria</a>",teenparade2015,,
,2016-01-29,Istituto Superiore Mario Boella,https://www.facebook.com/radioimmaginaria/photos/a.143551849036696/1065427373515801/,,radioimmaginaria,,,,,
2016-02-07,2016-02-14,Festival di Sanremo,https://tommi.space/rimm-db#festival-di-sanremo-2016,Sanremo,radioimmaginaria,,"<a href=""https://flic.kr/s/aHskvEz8fk"" target=""_blank"" title=""Sanremo 2016 – Flickr"">foto di Radioimmaginaria</a>",sanremo2016,,
2016-04-08,2016-04-10,Radiocity e International Radio Festival,,Milano,radioimmaginaria,,"<a href=""https://www.flickr.com/photos/radioimmaginaria/albums/72157668517426676"" target=""_blank"" title=""Radiocity 2016 – Flickr"">foto di Radioimmaginaria</a>",,,
2016-05-13,2016-05-15,Missione a Londra,https://www.spreaker.com/user/ariaimmaginaria/italy-meets-london,London,radioimmaginaria,sono andato con le mitiche Flora e Amalia in quel di Londra a salvare l’antenna di Radioimmaginaria Londra,,,,
2016-07-15,2016-07-24,Giffoni Film Festival,https://images.tommi.space/index?/category/giffoni-2016,Giffoni,radioimmaginaria giffoni,,"<a href=""https://flic.kr/s/aHskK5eqx3"" target=""_blank"" title=""Giffoni 2016 – Flickr"">foto di Radioimmaginaria</a>",gff2016,,
2016-08-24,2016-08-27,RadioCampo,https://tommi.space/rimm-db#Radiocampo-2016,Riva Ligure,radioimmaginaria,"il primo RadioCampo nel mio paese d’origine, con l’inaugurazione l’antenna di Radioimmaginaria Riva Ligure","<a href=""https://www.riviera24.it/2016/08/radioimmaginaria-a-riva-ligure-per-il-radiocampo-233170/"" target=""_blank"" title=""Radioimmaginaria a Riva Ligure per il RadioCampo"">articolo Riviera 24</a>, <a href=""https://images.tommi.space/index?/category/radiocampo-2016"" target=""_blank"" title=""Foto del Radiocampo Immaginario 2016"">foto</a>, <a href=""https://images.tommi.space/index?/category/photoshoot-radiocampo-2016"" target=""_blank"" title=""Shooting Radiocampo 2016"">foto promozionali</a>",radiocampo2016,,
2016-09-09,2016-09-10,Teen Parade,https://vimeo.com/284246871,Castelguelfo di Bologna,radioimmaginaria,,"<a href=""https://tommi.space/rimm-db#teen-parade-2016"" target=""_blank"" title=""Teen Parade 2016 – episodi"">episodi</a>, <a href=""https://images.tommi.space/index?/category/teen-parade-2016"" target=""_blank"" title=""Teen Parade 2016"">foto</a>, <a href=""https://flic.kr/s/aHskK2sy8z"" target=""_blank"" title=""Teen Parade 2016"">foto da Radioimmaginaria</a>",teenparade2016,,
,2016-11-30,School Attack,https://images.tommi.space/index?/category/riva-ligure-school-attack,Riva Ligure,radioimmaginaria,,,,,
2017-02-08,2017-02-13,Festival di Sanremo,https://tommi.space/rimm-db#festival-di-sanremo-2017,Sanremo,radioimmaginaria,,"<a href=""https://images.tommi.space/index?/category/sanremo-2017"" target=""_blank"" title=""Sanremo 2017"">foto</a>, <a href=""https://flic.kr/s/aHskRvXnWV"" target=""_blank"" title=""Sanremo 2017"">foto da Radioimmaginaria</a>",sanremo2017,,
,2017-03-30,Intervista ai Cantiere 164,https://www.spreaker.com/user/ariaimmaginaria/smo-lavori-in-corso-per-il-titolo,Sanremo,radioimmaginaria,l’inizio di amicizia e grande stima reciproca,"<a href=""https://images.tommi.space/index?/category/radioimmaginaria-sanremo-intervista-i-cantiere-164"" target=""_blank"" title=""Intervista ai Cantiere 164"">foto</a>",,,
2017-04-21,2017-04-23,Radiocity,https://flic.kr/s/aHskYWpS5q,Milano,radioimmaginaria,,,,,
2017-09-06,2017-09-07,Teen Parade,https://vimeo.com/radioimmaginaria/tparade2017,Bologna,radioimmaginaria,,"<a href=""https://tommi.space/rimm-db#teen-parade-2017"" target=""_blank"" title=""Episodi Teen Parade 2017"">episodi</a>, <a href=""https://flic.kr/s/aHsm5bZ7rq"" target=""_blank"" title=""Teen Parade 2017"">foto</a>",teenparade2017,,
2017-08-20,2017-08-25,RadioCampo,https://www.facebook.com/events/1356117211103947/,Riva Ligure,radioimmaginaria,,"<a href=""https://vimeo.com/radioimmaginaria/comeguadagnare"" target=""_blank"" title=""Come Guadagnare"">come guadagnare</a>, <a href=""https://www.riviera24.it/2017/08/a-riva-ligure-ce-radioimmaginaria-per-il-radiocampo-263655/"" target=""_blank"" title=""A Riva Ligure c’è il RadioCampo"">articolo Riviera24</a>",,,
2018-02-06,2018-02-10,Festival di Sanremo,https://tommi.space/rimm-db#festival-di-sanremo-2018,Sanremo,radioimmaginaria,,"<a href=""https://flic.kr/s/aHsmeW5a5n"" target=""_blank"" title=""Sanremo 2018"">foto</a>",sanremo2018,,
2018-08-21,2018-08-25,RadioCampo,https://radioimmaginaria.it/content/279-radiocampo-riva-ligure,Riva Ligure,radioimmaginaria,,,,,
2018-09-05,2018-09-07,Teen Parade,https://vimeo.com/306153145,Bologna,radioimmaginaria,,"<a href=""https://flic.kr/s/aHsmrUxy9Q"" target=""_blank"" title=""Teen Parade 2018"">foto</a>, <a href=""https://flic.kr/s/aHsmrUxy9Q"" target=""_blank"" title=""migliori foto di Teen Parade 2018"">best of</a>, <a href=""https://vimeo.com/search?q=%22Teen+Parade+2018%22"" target=""_blank"" title=""video di Teen Parade 2018"">video vari</a>",teenparade2018,,
,2018-09-07,CATCH-EyoU,http://www.catcheyou.eu/,Bruxelles,radioimmaginaria,il mio ultimo evento da tipo immaginario,"<a href=""https://www.flickr.com/photos/radioimmaginaria/albums/72157698540493742"" target=""_blank"" title=""CATCH-EyoU – Flickr"">foto</a>, <a href=""https://www.spreaker.com/user/ariaimmaginaria/bruxelles-unione-europea"" target=""_blank"" title=""best of CATCH-EyoU"">best of</a>, <a href=""https://www.spreaker.com/user/ariaimmaginaria/catcheyou-from-brussels"" target=""_blank"" title=""CATCH-EyoU, puntata completa"">puntata completa</a>",,,
2019-11-13,2019-11-14,Teen Parade,https://radioimmaginaria.it/teenparade2019,Genova,radioimmaginaria,,"<a href=""https://images.tommi.space/index?/category/teen-parade-2019"" target=""_blank"" title=""Teen Parade 2019 - foto"">foto</a>, <a href=""https://flic.kr/s/aHsmJjqJpQ"" target=""_blank"" title=""Teen Parade 2019 - Flickr"">foto da Radioimmaginaria</a>",teenparade2019,,
2016-04-24,2016-04-25,San Giorgio,https://images.tommi.space/index?/category/san-giorgio-2016,Cipressa,scout,,,,,
2015-05-09,2015-05-10,San Giorgio,https://images.tommi.space/index?/category/san-giorgio-2015,Taggia,scout,,,,,
,2015-06-06,Autofinanziamento Pirati,https://images.tommi.space/index?/category/autofinanziamento-pirati,Campo Scout,scout,,,,,
,2015-06-13,AGESCI dal Papa,https://emiro.agesci.it/tag/agescidalpapa/,Piazza San Pietro,scout,sono stato estratto come rappresentante della Regione Liguria per incontrare di persona il Papa,"<a href=""https://images.tommi.space/index?/category/agesci-dal-papa"" target=""_blank"" title=""AGESCI dal Papa"">foto</a>",agesci-papa,,
2015-07-16,2015-07-23,Campo estivo,https://images.tommi.space/index?/category/campo-estivo-2015,Mendatica,scout,,,,,
2015-11-08,2015-11-09,Passaggi,https://images.tommi.space/index?/category/passaggi-2015,Carpasio + Cipressa,scout,,,,,
2016-10-28,2016-10-29,Campetto responsabilità,https://images.tommi.space/index?/category/campetto-di-responsabilita,Laigueglia,scout,,,,,
,2019-03-16,Uscita di Clan,https://images.tommi.space/index?/category/uscita-di-clan-a-colla-micheri,Colla Micheri,scout,,,,,
,2019-05-26,Caccia di Primavera,https://images.tommi.space/index?/category/caccia-di-primavera-2019,Imperia,scout,,,,,
,2021-01-04,Partenza,https://images.tommi.space/index?/category/partenza,Riva Ligure,scout,,,,,
